Part,Price,Available,Date
CPU,"769,99",si,11/04/2021 22:17:31
Torre,"189,99",si,11/04/2021 22:17:31
Placa_base,"239,94",si,11/04/2021 22:17:31
Font_alimentació,"239,98",No,11/04/2021 22:17:31
Targeta_gràfica,"1049,90",No,11/04/2021 22:17:31
Refrigeració,"178,41",si,11/04/2021 22:17:31
RAM,"124,99",si,11/04/2021 22:17:31
SSD,"172,92",si,11/04/2021 22:17:31
CPU,"769,99",si,11/04/2021 22:19:29
Torre,"189,99",si,11/04/2021 22:19:29
Placa_base,"239,94",si,11/04/2021 22:19:29
Font_alimentació,"239,98",No,11/04/2021 22:19:29
Targeta_gràfica,"1049,90",No,11/04/2021 22:19:29
Refrigeració,"178,41",si,11/04/2021 22:19:29
RAM,"124,99",si,11/04/2021 22:19:29
SSD,"172,92",si,11/04/2021 22:19:29
CPU,"769,99",si,11/04/2021 22:43:49
Torre,"189,99",si,11/04/2021 22:43:49
Placa_base,"239,94",si,11/04/2021 22:43:49
Font_alimentació,"239,98",No,11/04/2021 22:43:49
Targeta_gràfica,"1049,90",No,11/04/2021 22:43:49
Refrigeració,"178,41",si,11/04/2021 22:43:49
RAM,"124,99",si,11/04/2021 22:43:49
SSD,"172,92",si,11/04/2021 22:43:49
CPU,"769,99",si,11/04/2021 22:44:09
Torre,"189,99",si,11/04/2021 22:44:09
Placa_base,"239,94",si,11/04/2021 22:44:09
Font_alimentació,"239,98",No,11/04/2021 22:44:09
Targeta_gràfica,"1049,90",No,11/04/2021 22:44:09
Refrigeració,"178,41",si,11/04/2021 22:44:09
RAM,"124,99",si,11/04/2021 22:44:09
SSD,"172,92",si,11/04/2021 22:44:09
CPU,"769,99",si,11/04/2021 22:44:34
Torre,"189,99",si,11/04/2021 22:44:34
Placa_base,"239,94",si,11/04/2021 22:44:34
Font_alimentació,"239,98",No,11/04/2021 22:44:34
Targeta_gràfica,"1049,90",No,11/04/2021 22:44:34
Refrigeració,"178,41",si,11/04/2021 22:44:34
RAM,"124,99",si,11/04/2021 22:44:34
SSD,"172,92",si,11/04/2021 22:44:34
CPU,"769,99",si,11/04/2021 23:11:28
Torre,"189,99",si,11/04/2021 23:11:28
Placa_base,"239,94",si,11/04/2021 23:11:28
Font_alimentació,"239,98",No,11/04/2021 23:11:28
Targeta_gràfica,"1049,90",No,11/04/2021 23:11:28
Refrigeració,"178,41",si,11/04/2021 23:11:28
RAM,"124,99",si,11/04/2021 23:11:28
SSD,"172,92",si,11/04/2021 23:11:28
CPU,"769,99",si,11/04/2021 23:17:03
Torre,"189,99",si,11/04/2021 23:17:03
Placa_base,"239,94",si,11/04/2021 23:17:03
Font_alimentació,"239,98",No,11/04/2021 23:17:03
Targeta_gràfica,"1049,90",No,11/04/2021 23:17:03
Refrigeració,"178,41",si,11/04/2021 23:17:03
RAM,"124,99",si,11/04/2021 23:17:03
SSD,"172,92",si,11/04/2021 23:17:03
